Year,Month,Avg_Daily_Use_mgd,Water_System_name,Ownership,Date
2006,1,23.49,Durham,Municipality,1/1/06
2006,2,24.36,Durham,Municipality,2/1/06
2006,3,26.7,Durham,Municipality,3/1/06
2006,4,26.66,Durham,Municipality,4/1/06
2006,5,27.53,Durham,Municipality,5/1/06
2006,6,29.49,Durham,Municipality,6/1/06
2006,7,30.77,Durham,Municipality,7/1/06
2006,8,33.16,Durham,Municipality,8/1/06
2006,9,28.49,Durham,Municipality,9/1/06
2006,10,26.89,Durham,Municipality,10/1/06
2006,11,25.86,Durham,Municipality,11/1/06
2006,12,24.69,Durham,Municipality,12/1/06
2007,1,23.82,Durham,Municipality,1/1/07
2007,2,24.38,Durham,Municipality,2/1/07
2007,3,25.88,Durham,Municipality,3/1/07
2007,4,28.3,Durham,Municipality,4/1/07
2007,5,31.18,Durham,Municipality,5/1/07
2007,6,33.24,Durham,Municipality,6/1/07
2007,7,33.79,Durham,Municipality,7/1/07
2007,8,36.88,Durham,Municipality,8/1/07
2007,9,34.12,Durham,Municipality,9/1/07
2007,10,27.92,Durham,Municipality,10/1/07
2007,11,23.69,Durham,Municipality,11/1/07
2007,12,21.99,Durham,Municipality,12/1/07
2008,1,21.05,Durham,Municipality,1/1/08
2008,2,21.97,Durham,Municipality,2/1/08
2008,3,21.69,Durham,Municipality,3/1/08
2008,4,22.62,Durham,Municipality,4/1/08
2008,5,23.21,Durham,Municipality,5/1/08
2008,6,28.27,Durham,Municipality,6/1/08
2008,7,26.8,Durham,Municipality,7/1/08
2008,8,27.78,Durham,Municipality,8/1/08
2008,9,25.84,Durham,Municipality,9/1/08
2008,10,25.63,Durham,Municipality,10/1/08
2008,11,24.32,Durham,Municipality,11/1/08
2008,12,22.74,Durham,Municipality,12/1/08
2009,1,23.95,Durham,Municipality,1/1/09
2009,2,24.57,Durham,Municipality,2/1/09
2009,3,26.11,Durham,Municipality,3/1/09
2009,4,26.68,Durham,Municipality,4/1/09
2009,5,28.17,Durham,Municipality,5/1/09
2009,6,30.73,Durham,Municipality,6/1/09
2009,7,29.89,Durham,Municipality,7/1/09
2009,8,29.47,Durham,Municipality,8/1/09
2009,9,27.36,Durham,Municipality,9/1/09
2009,10,24.69,Durham,Municipality,10/1/09
2009,11,21.68,Durham,Municipality,11/1/09
2009,12,19.74,Durham,Municipality,12/1/09
2010,1,20.55,Durham,Municipality,1/1/10
2010,2,18.82,Durham,Municipality,2/1/10
2010,3,21.79,Durham,Municipality,3/1/10
2010,4,24.31,Durham,Municipality,4/1/10
2010,5,26.1,Durham,Municipality,5/1/10
2010,6,28.32,Durham,Municipality,6/1/10
