X,Y,OBJECTID,TERMID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,EPA_ID,ALT_NAME,OWNER,POSREL,JRSDCTN,CONTYPE,IE_PORT,BERTHS,STORAGE,STORCAP,CURRENTCAP,APPCAP,OPYEAR,IMPEXPCTRY,VOLUME,PRICE
-16851923.0026,8552418.2461,1,ANLLNG02001,CONOCOPHILLIPS KENAI LNG PLANT,48237 KENAI SPUR HIGHWAY,KENAI,AK,99611,NOT AVAILABLE,NOT AVAILABLE,EXPORT,IN SERVICE,-999,KENAI PENINSULA,02122,USA,60.6787,-151.3834,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/03 00:00:00+00,http://alaska.conocophillips.com,110007919501,KENAI LNG TERMINAL,KENAI LNG,WITHIN 40 FEET,FERC,LNG TANKER,KENAI,1,3,2.2,0.2,-999,1969,NOT APPLICABLE,0,0
-9016412.1029,3774621.4515,2,ANLLNG13001,SLNG STATION 9999 ELBA ISLAND (IMPORT),ELBA ISLAND ROAD,SAVANNAH,GA,31404,NOT AVAILABLE,NOT AVAILABLE,IMPORT,IN SERVICE,-999,CHATHAM,13051,USA,32.086127,-80.995808,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/03 00:00:00+00,http://www.kindermorgan.com,110043812443,ELBA ISLAND LNG TERMINAL,SOUTHERN LNG (KINDER MORGAN),WITHIN 40 FEET,FERC,LNG TANKER,ELBA ISLAND,2,5,11.3,1.6,-999,1978,TTO,14.5,4.2
-10390170.6506,3508359.3285,3,ANLLNG22001,CAMERON LNG LLC - CAMERON LNG IMPORT FACILITY,301 N MAIN STREET,HACKBERRY,LA,70645,5012,NOT AVAILABLE,IMPORT,IN SERVICE,-999,CAMERON,22023,USA,30.037409,-93.336491,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/09 00:00:00+00,http://cameronlng.com,110029511883,HACKBERRY LNG TERMINAL,SEMPRA LNG & MIDSTREAM,WITHIN 40 FEET,FERC,LNG TANKER,HACKBERRY,2,3,10.1,1.8,-999,2009,NOT APPLICABLE,0,0
-10384797.5927,3518078.0777,4,ANLLNG22002,LAKE CHARLES TERMINAL,8100 BIG LAKE ROAD,LAKE CHARLES,LA,70605,0300,NOT AVAILABLE,IMPORT,IN SERVICE,-999,CALCASIEU,22019,USA,30.11296,-93.288224,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/09 00:00:00+00,http://www.energytransfer.com,110064087018,NOT APPLICABLE,LAKE CHARLES LNG CO. LLC,WITHIN 40 FEET,FERC,LNG TANKER,LAKE CHARLES,2,4,9,2.1,-999,1982,NOT APPLICABLE,0,0
-10449603.4985,3471226.3969,5,ANLLNG22003,SABINE PASS LNG LP - SABINE PASS LNG IMPORT TERMINAL,9243 GULF BEACH HIGHWAY,CAMERON,LA,70631,4019,NOT AVAILABLE,IMPORT,IN SERVICE,-999,CAMERON,22023,USA,29.748217212,-93.870385357,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/03 00:00:00+00,http://www.cheniere.com,110017761322,NOT APPLICABLE,CHENIERE ENERGY PARTNERS,WITHIN 40 FEET,FERC,LNG TANKER,SABINE PASS,2,5,16.9,4,-999,2008,NOT APPLICABLE,0,0
-10450489.5324,3472333.7836,6,ANLLNG22004,SABINE PASS LIQUEFACTION,9243 GULF BEACH HIGHWAY,CAMERON,LA,70631,4019,NOT AVAILABLE,EXPORT,IN SERVICE,-999,CAMERON,22023,USA,29.756853683,-93.878344735,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/03 00:00:00+00,http://www.cheniere.com,110017761322,NOT APPLICABLE,CHENIERE ENERGY PARTNERS,WITHIN 40 FEET,FERC,LNG TANKER,SABINE PASS,2,5,16.9,3.5,0.7,NOT APPLICABLE,"FRA, GBR, KOR, TUR",932,4.62
-7910157.186,5220010.2393,7,ANLLNG25001,DISTRIGAS LNG FACILITY,18 ROVER STREET,EVERETT,MA,02149,5534,NOT AVAILABLE,IMPORT,IN SERVICE,-999,MIDDLESEX,25017,USA,42.3928560000001,-71.058151,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/09 00:00:00+00,http://www.engie-na.com,110002011894,EVERETT MARINE TERMINAL,GDF SUEZ GAS NA LLC,WITHIN 40 FEET,FERC,LNG TANKER,EVERETT,1,2,3.3,1.035,-999,1971,"FRA, GBR, TTO",50.64,6.13
-7859676.4686,5231840.3869,8,ANLLNG25002,NEPTUNE DEEPWATER PORT,MASSACHUSETTS BAY,OFFSHORE,MA,NOT APPLICABLE,NOT APPLICABLE,NOT AVAILABLE,IMPORT,SUSPENDED,-999,NOT APPLICABLE,NOT APPLICABLE,USA,42.4712930000001,-70.604675,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2018/09/04 00:00:00+00,IMAGERY/OTHER,2019/12/13 00:00:00+00,"http://www.engie-na.com; https://www.federalregister.gov",110041207048,NOT APPLICABLE,ENGIE,NOTIONAL,FERC,LNG TANKER,NEPTUNE DEEPWATER,0,1,0,0.4,-999,2010,NOT APPLICABLE,0,0
-7859627.5994,5220553.9353,9,ANLLNG25003,NORTHEAST GATEWAY ENERGY BRIDGE LLC,MASSACHUSETTS BAY,OFFSHORE,MA,NOT APPLICABLE,NOT APPLICABLE,NOT AVAILABLE,IMPORT,IN SERVICE,-999,NOT APPLICABLE,NOT APPLICABLE,USA,42.396463,-70.604236,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/03 00:00:00+00,http://excelerateenergy.com,110038040839,NORTHEAST GATEWAY DEEPWATER PORT,EXCELERATE ENERGY LLC,NOTIONAL,FERC,LNG TANKER,NORTHEAST GATEWAY DEEPWATER PORT,0,1,0,0.8,-999,2008,NOT APPLICABLE,0,0
-8505821.2134,4634610.7947,10,ANLLNG24001,COVE POINT LNG IMPORT TERMINAL,2100 COVE POINT ROAD,LUSBY,MD,20657,4614,(410) 286-5757,IMPORT,IN SERVICE,-999,CALVERT,24009,USA,38.3896030000001,-76.409092,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/03 00:00:00+00,https://dominionenergy.com,110001255150,NOT APPLICABLE,DOMINION,WITHIN 40 FEET,FERC,LNG TANKER,COVE POINT,2,7,14.8,1.8,-999,1978,"TTO, NGA",9.1,9.37
-9852121.2501,3545069.6139,11,ANLLNG28001,GULF LNG ENERGY,125 INDUSTRIAL ROAD,PASCAGOULA,MS,39581,NOT AVAILABLE,NOT AVAILABLE,IMPORT,IN SERVICE,-999,JACKSON,28059,USA,30.322482,-88.503111,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/03 00:00:00+00,http://www.kindermorgan.com,110040455030,GULF LNG TERMINAL,GULF LNG ENERGY LLC,WITHIN 40 FEET,FERC,LNG TANKER,GULF LNG,2,2,7.5,1.5,-999,2011,NOT APPLICABLE,0,0
-10610611.379,3367145.8048,12,ANLLNG48001,FREEPORT LNG IMPORT TERMINAL,1500 LAMAR STREET,QUINTANA,TX,77541,8113,(800) 794-0981,IMPORT,IN SERVICE,-999,BRAZORIA,48039,USA,28.933193466,-95.316743756,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/09 00:00:00+00,http://www.freeportlng.com,110027375105,FREEPORT LNG QUINTANA REGAS TERMINAL,"FREEPORT LNG DEVELOPMENT, LP",WITHIN 40 FEET,FERC,LNG TANKER,FREEPORT,1,2,6.8,1.5,-999,2008,TTO,0.36,11.34
-10611317.1489,3366390.3846,13,ANLLNG48002,FREEPORT LNG EXPORT TERMINAL,1500 LAMAR STREET,QUINTANA,TX,77541,8113,(800) 794-0981,EXPORT,UNDER CONSTRUCTION,-999,BRAZORIA,48040,USA,28.9272542460001,-95.323083795,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/03 00:00:00+00,http://www.freeportlng.com,110027375105,FREEPORT LNG QUINTANA TERMINAL,"FREEPORT LNG DEVELOPMENT, LP",WITHIN 40 FEET,FERC,LNG TANKER,FREEPORT,1,2,6.8,0,2.14,NOT APPLICABLE,NOT APPLICABLE,0,0
-10455184.6841,3472902.783,14,ANLLNG48003,GOLDEN PASS LNG IMPORT TERMINAL,3752 S GULFWAY DRIVE,SABINE PASS,TX,77640,NOT AVAILABLE,NOT AVAILABLE,IMPORT,IN SERVICE,-999,JEFFERSON,48245,USA,29.761291,-93.9205219999999,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/10 00:00:00+00,http://goldenpassterminal.com,110033811739,NOT APPLICABLE,"QATAR PETROLEUM (70%), EXXONMOBIL (17.6%), CONOCO PHILLIPS (12.4%)",WITHIN 40 FEET,FERC,LNG TANKER,GOLDEN PASS,2,5,18,2,-999,2010,NOT APPLICABLE,0,0
-7344941.8224,5653919.1576,15,ANLLNGCA001,CANAPORT LNG,"2530 RED HEAD ROAD; PO BOX 2029",SAINT JOHN,NB,NOT APPLICABLE,NOT APPLICABLE,(506) 638-1311,IMPORT,IN SERVICE,-999,NOT APPLICABLE,NOT APPLICABLE,CAN,45.205422,-65.980735,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/03 00:00:00+00,https://www.canaportlng.com/,NOT APPLICABLE,NOT APPLICABLE,CANAPORT LNG,WITHIN 40 FEET,FERC,LNG TANKER,CANAPORT,1,3,1.2,1,-999,2009,NOT APPLICABLE,-999,-999
-13007394.7383,3761804.0556,16,ANLLNGMX001,ENERGIA COSTA AZUL TERMINAL,NOT AVAILABLE,BAJA CALIFORNIA,MX,NOT APPLICABLE,NOT APPLICABLE,NOT AVAILABLE,IMPORT,IN SERVICE,-999,NOT APPLICABLE,NOT APPLICABLE,MEX,31.988522,-116.847415,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/10 00:00:00+00,http://ecalng.com/,NOT APPLICABLE,NOT APPLICABLE,SEMPRA LNG & IENOVA,WITHIN 40 FEET,FERC,LNG TANKER,ENERGIA COSTA AZUL,1,2,-999,1,-999,2019,NOT APPLICABLE,-999,-999
-7431494.5076,2034894.4124,17,ANLLNG72001,ECOELECTRICA LNG TERMINAL,GUAYANILLA BAY,PENUELAS,PR,00624,NOT APPLICABLE,NOT AVAILABLE,IMPORT,IN SERVICE,-999,PENUELAS,NOT APPLICABLE,USA,17.977323,-66.758251,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/03 00:00:00+00,https://www.sourcewatch.org/index.php/EcoEl%C3%A9ctrica_LNG,110007816471,NOT APPLICABLE,ECOELECTRICA,WITHIN 40 FEET,FERC,LNG TANKER,ECOELECTRICA,1,1,-999,0.3,-999,2008,TTO,2.84,9.76
-8505791.3798,4634628.6898,18,ANLLNG24002,COVE POINT LNG EXPORT TERMINAL,2100 COVE POINT ROAD,LUSBY,MD,20657,4614,(410) 286-5757,EXPORT,IN SERVICE,-999,CALVERT,24009,USA,38.389729,-76.408824,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/03 00:00:00+00,https://dominionenergy.com,110001255150,NOT APPLICABLE,DOMINION,WITHIN 40 FEET,FERC,LNG TANKER,COVE POINT,2,7,14.6,0.82,-999,1978,"TTO, NOR",143,7.33
-10390278.1852,3508374.8878,19,ANLLNG22005,CAMERON LNG LLC - CAMERON LNG EXPORT FACILITY,301 N MAIN STREET,HACKBERRY,LA,70645,5012,NOT AVAILABLE,EXPORT,IN SERVICE,-999,CAMERON,22023,USA,30.03753,-93.337457,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/03 00:00:00+00,http://cameronlng.com,110029511883,HACKBERRY LNG TERMINAL,SEMPRA LNG & MIDSTREAM,WITHIN 40 FEET,FERC,LNG TANKER,HACKBERRY,2,3,11,0.71,1.41,2009,NOT APPLICABLE,0,0
-9016557.8202,3774605.9476,20,ANLLNG13002,SLNG STATION 9999 ELBA ISLAND (EXPORT),ELBA ISLAND ROAD,SAVANNAH,GA,31404,NOT AVAILABLE,NOT AVAILABLE,EXPORT,IN SERVICE,-999,CHATHAM,13051,USA,32.086009,-80.997117,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/03 00:00:00+00,http://www.kindermorgan.com,110043812443,ELBA ISLAND LNG TERMINAL,SOUTHERN LNG (KINDER MORGAN),WITHIN 40 FEET,FERC,LNG TANKER,ELBA ISLAND,2,5,11.5,0.035,0.315,1978,NOT APPLICABLE,0,0
-10389349.4467,3516072.6426,21,ANLLNG22006,DRIFTWOOD LNG,"8086 GLOBAL DRIVE; SOUTH OF CALCASIEU RIVER",SULPHUR,LA,70665,NOT AVAILABLE,NOT AVAILABLE,EXPORT,UNDER CONSTRUCTION,-999,CALCASIEU,22019,USA,30.097375,-93.329114,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/03 00:00:00+00,http://driftwoodlng.com/,NOT AVAILABLE,NOT APPLICABLE,TELLURIAN INC.,WITHIN 40 FEET,FERC,LNG TANKER,DRIFTWOOD,-999,-999,-999,0,4,-999,NOT AVAILABLE,-999,-999
-10828536.998,3235095.8722,22,ANLLNG48004,CORPUS CHRISTI LNG,NOT AVAILABLE,CORPUS CHRISTI,TX,78374,NOT AVAILABLE,NOT AVAILABLE,EXPORT,IN SERVICE,-999,NUECES,48355,USA,27.889869,-97.2744029,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/03 00:00:00+00,https://www.cheniere.com,110034668599,NOT APPLICABLE,"CORPUS CHRISTI LIQUEFICATION LLC, CHENIERE",WITHIN 40 FEET,FERC,LNG TANKER,COVE POINT,2,2,10.4,1.44,0.72,2019,"GBR, GRC",6.8,7
-10454984.0864,3472960.1034,23,ANLLNG48005,GOLDEN PASS LNG EXPORT TERMINAL,3752 S GULFWAY DRIVE,SABINE PASS,TX,77640,NOT AVAILABLE,NOT AVAILABLE,EXPORT,UNDER CONSTRUCTION,-999,JEFFERSON,48245,USA,29.761738,-93.91872,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/03 00:00:00+00,http://goldenpassterminal.com,110033811739,NOT APPLICABLE,"QATAR PETROLEUM (70%), EXXONMOBIL (17.6%), CONOCO PHILLIPS (12.4%)",WITHIN 40 FEET,FERC,LNG TANKER,CORPUS CHRISTI,2,5,18,0,2.1,-999,NOT AVAILABLE,-999,-999
-10390518.3013,3474391.7866,24,ANLLNG22007,CALCASIEU PASS LNG,LOCATION WHERE CALCASIEU SHIP CHANNEL MEETS GULF OF MEXICO,LAKE CHARLES,LA,70605,NOT AVAILABLE,NOT AVAILABLE,EXPORT,UNDER CONSTRUCTION,-999,CALCASIEU,22019,USA,29.772902,-93.339614,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, FERC, ANL INTERNAL RESEARCH",2019/10/08 00:00:00+00,IMAGERY/OTHER,2019/12/03 00:00:00+00,http://venturegloballng.com,NOT AVAILABLE,NOT APPLICABLE,VENTURE GLOBAL LNG (VENTURE GLOBAL CALCASIEU PASS LLC),NOTIONAL,FERC,LNG TANKER,CALCASIEU PASS,-999,-999,-999,0,1.41,-999,NOT AVAILABLE,-999,-999
-8939846.8911,2979127.8087,25,ANLLNG12001,AMERICAN LNG HIALEAH TERMINAL,NW 72ND STREET,MEDLEY,FL,33166,NOT AVAILABLE,NOT AVAILABLE,EXPORT,IN SERVICE,-999,MIAMI-DADE,12086,USA,25.838788,-80.308011,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EIA, EPA, DOE, ANL INTERNAL RESEARCH",2019/12/06 00:00:00+00,IMAGERY/OTHER,2019/12/09 00:00:00+00,https://www.energy.gov/fe/,NOT AVAILABLE,NOT APPLICABLE,AMERICAN LNG MARKETING LLC,WITHIN 40 FEET,DOE,ISO CONTAINER,FORT LAUDERDALE,-999,3,-999,-999,3.02,2016,"BHS, BRB",0.31,10
