X,Y,OBJECTID,SWID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,REG_ID,STATUSDATE,OWNER,CLOSE_DATE,PERMIT_NO
-17558301.9726,2445466.5867,1,15744,KANEOHE MARINE CORPS BASE LANDFILL,"MIDDAUGH ST, OAHU",KANEOHE,HI,96734,NOT AVAILABLE,(808) 257-6920,"MUNICIPAL, C&D",OPEN,HONOLULU,15003,USA,21.4487350239023,-157.728910251707,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://health.hawaii.gov/shwb/files/2013/06/oahulandfills.pdf,2019/04/30 00:00:00+00,IMAGERY,2020/01/15 00:00:00+00,NOT AVAILABLE,110020733063,NOT AVAILABLE,UNITED STATE MARINE CORPS,NOT AVAILABLE,NOT AVAILABLE
-17602351.2734,2433460.7916,2,15750,WAIMANALO GULCH SANITARY LANDFILL,"92-460 FARRINGTON HIGHWAY, OAHU",WAIANAE,HI,96707,NOT AVAILABLE,(808) 668-4640,MUNICIPAL,OPEN,HONOLULU,15003,USA,21.3483197594494,-158.124611853055,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://health.hawaii.gov/shwb/files/2013/06/oahulandfills.pdf,2019/04/30 00:00:00+00,IMAGERY,2020/01/15 00:00:00+00,http://www1.wmsolutions.com/facilities/details/id/198,110014055501,NOT AVAILABLE,WASTE MANAGEMENT INC,NOT AVAILABLE,LF-0054-02
-17352686.1558,2260402.4101,3,15751,WEST HAWAII LANDFILL / PUU ANAHULU,71-111 QUEEN KAAHUMANU HWY,WAIKOLOA,HI,85034,NOT AVAILABLE,NOT AVAILABLE,"MUNICIPAL, C&D",OPEN,HAWAII,15001,USA,19.8933615651841,-155.88183194319,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://health.hawaii.gov/shwb/files/2013/06/neighborlandfills3.pdf,2019/04/30 00:00:00+00,IMAGERY,2020/01/15 00:00:00+00,http://www1.wmsolutions.com/facilities/details/id/197,110034132542,NOT AVAILABLE,WASTE MANAGEMENT INC,NOT AVAILABLE,LF0072-93
-17412992.948,2375049.5208,4,15740,CENTRAL MAUI LANDFILL REFUSE & RECYCLING CENTER,PULEHU ROAD & HANSEN ROAD,PUUNENE,HI,96784,NOT AVAILABLE,(808) 270-7880,MUNICIPAL,OPEN,MAUI,15009,USA,20.858796495362,-156.423577074922,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://health.hawaii.gov/shwb/files/2013/06/neighborlandfills3.pdf,2019/04/30 00:00:00+00,IMAGERY,2020/01/15 00:00:00+00,http://www.co.maui.hi.us/Facilities/Facility/Details/5,110024880459,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
-16441668.9065,9556202.6772,5,216,FAIRBANKS NORTH STAR BOROUGH LANDFILL (SOUTH CUSHMAN),455 SANDURI ST,FAIRBANKS,AK,99701,7653,(907) 459-1482,"MUNICIPAL, C&D",OPEN,FAIRBANKS NORTH STAR,02090,USA,64.801208412838,-147.698024751241,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://dec.alaska.gov/Applications/EH/SWIMS/ModFacility.aspx?siteId=89,2019/05/06 00:00:00+00,IMAGERY/OTHER,2020/05/08 00:00:00+00,http://co.fairbanks.ak.us/solidwaste/,110001717205,1/14/2019,FAIRBANKS NORTH STAR BOROUGH,NOT AVAILABLE,SW1A002-16
-13621304.2773,4926744.6362,6,6260,"ANDERSON LANDFILL, INC.",18703 CAMBRIDGE ROAD,ANDERSON,CA,96007,9165,(530) 347-5236,"MUNICIPAL, C&D",OPEN,SHASTA,06089,USA,40.4171280572141,-122.362258219042,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110002690730,1/1/2093,"ANDERSON LANDFILL, INC",NOT AVAILABLE,45-AA-0020
-13613711.2531,4894812.5596,7,6366,TEHAMA COUNTY/RED BLUFF LANDFILL,"19995 PLYMIRE ROAD; 2 MI NW RED BLUFF",RED BLUFF,CA,96080,NOT AVAILABLE,(530) 528-1102,"MUNICIPAL, C&D",OPEN,TEHAMA,06103,USA,40.1983815312827,-122.29404892262,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110017972782,1/1/2040,"MADERA DISPOSAL SYSTEMS, INC",NOT AVAILABLE,52-AA-0001
-13521423.4357,4662618.4045,8,6285,CITY OF SACRAMENTO LANDFILL,20 28TH ST,SACRAMENTO,CA,95816,NOT AVAILABLE,(916) 808-4934,MUNICIPAL,CLOSED,SACRAMENTO,06067,USA,38.586536970305,-121.465013353284,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110001159424,1/30/2019,"CITY OF SACRAMENTO, DEPT OF UTILITIES",1/30/2014,34-AA-0018
-13579129.288,4610135.1451,9,6339,POTRERO HILLS LANDFILL,3675 POTRERO HILLS LANE,SUISUN CITY,CA,94585,NOT AVAILABLE,(707) 429-9600,"MUNICIPAL, C&D",OPEN,SOLANO,06095,USA,38.2170634696035,-121.98339384465,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110017973193,2/14/2048,"POTRERO HILLS LANDFILL, INC",NOT AVAILABLE,48-AA-0075
-13560054.9242,4427636.3074,10,6274,BUENA VISTA DRIVE SANITARY LANDFILL,150 ROUNDTREE LANE (OFFICE ADDRESS),WATSONVILLE,CA,95076,NOT AVAILABLE,(831) 454-5156,"MUNICIPAL, C&D",OPEN,SANTA CRUZ,06087,USA,36.9176632192822,-121.812045918984,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110017973291,7/1/2031,SANTA CRUZ COUNTY,NOT AVAILABLE,44-AA-0004
-13574121.0868,4580273.7157,11,6311,KELLER CANYON LANDFILL,901 BAILEY ROAD,PITTSBURG,CA,94565,4309,(925) 458-9800,"MUNICIPAL, C&D",OPEN,CONTRA COSTA,06013,USA,38.0060019068625,-121.938404407637,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110001163053,12/31/2030,KELLER CANYON LANDFILL,NOT AVAILABLE,07-AA-0032
-13562706.922,4623888.9274,12,6342,RECOLOGY HAY ROAD,"6426 HAY ROAD; 1/4 MI W HWY 113",VACAVILLE,CA,95687,NOT AVAILABLE,(707) 678-4718,"MUNICIPAL, C&D",OPEN,SOLANO,06095,USA,38.314070393434,-121.835869220788,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110017973415,1/1/2077,RECOLOGY HAY ROAD,NOT AVAILABLE,48-AA-0002
-13592705.3161,4435397.0773,13,6286,CITY OF SANTA CRUZ RESOURCE RECOVERY FAC,605 DIMEO LANE,SANTA CRUZ,CA,95060,5610,(831) 420-5160,"MUNICIPAL, C&D",OPEN,SANTA CRUZ,06087,USA,36.9733809010078,-122.10534938027,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110012694209,1/1/2058,CITY OF SANTA CRUZ,NOT AVAILABLE,44-AA-0001
-13561477.3011,4426964.3768,14,6287,CITY OF WATSONVILLE LANDFILL,730 SAN ANDREAS ROAD,WATSONVILLE,CA,95076,9648,(831) 728-6046,"MUNICIPAL, C&D",OPEN,SANTA CRUZ,06087,USA,36.9128372431443,-121.824823348119,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110012694218,12/31/2029,CITY OF WATSONVILLE,NOT AVAILABLE,44-AA-0002
-13514743.478,4374284.7497,15,6310,JOHNSON CANYON SANITARY LANDFILL,31400 JOHNSON CANYON ROAD,GONZALES,CA,93926,9400,(831) 755-1300,"MUNICIPAL, C&D",OPEN,MONTEREY,06053,USA,36.5335295713327,-121.405006272322,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110012694307,12/21/2040,SALINAS VALLEY SOLID WASTE AUTHORITY,NOT AVAILABLE,27-AA-0005
-13590712.5651,4582999.0052,16,6257,ACME LANDFILL,950 WATERBIRD WAY,MARTINEZ,CA,94553,NOT AVAILABLE,(925) 228-7099,C&D,OPEN,CONTRA COSTA,06013,USA,38.0252896263153,-122.087448193279,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110017973399,7/1/2021,ACME FILL CORPORATION,NOT AVAILABLE,07-AA-0002
-13623305.716,4575088.6883,17,6378,WEST CONTRA COSTA LANDFILL,PARR BLVD & GARDEN TRACT ROAD,RICHMOND,CA,94801,NOT AVAILABLE,(510) 262-1660,"MUNICIPAL, C&D",CLOSED,CONTRA COSTA,06013,USA,37.9692918453425,-122.380237449199,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110034185637,8/3/2015,WEST CONTRA COSTA SANITARY LANDFILL INC,8/3/2010,07-AA-0001
-8117014.8245,5336574.7219,18,502761,WINHALL TRANSFER STATION,"66 OLD TOWN ROAD, BONDVILLE",WINHALL,VT,05340,NOT AVAILABLE,(802) 297-2122,TRANSFER,OPEN,BENNINGTON,50003,USA,43.1614248561722,-72.9163847824317,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://anrweb.vt.gov/DEC/ERT/DataDump.aspx,2019/05/03 00:00:00+00,IMAGERY/OTHER,2020/04/05 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,BN961
-13569969.5826,4469020.1107,19,6303,GUADALUPE DISPOSAL SITE LANDFILL,15999 GUADALUPE MINES ROAD,SAN JOSE,CA,95120,NOT AVAILABLE,(408) 268-1670,"MUNICIPAL, C&D",OPEN,SANTA CLARA,06085,USA,37.2143030268633,-121.901110811115,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110034187378,1/1/2048,"GUADALUPE RUBBISH DISPOSAL CO, INC",NOT AVAILABLE,43-AN-0015
-13549965.1341,4543771.1056,20,6375,VASCO ROAD SANITARY LANDFILL,4001 N VASCO RD,LIVERMORE,CA,94551,9766,(925) 447-0491,"MUNICIPAL, C&D",OPEN,ALAMEDA,06001,USA,37.7471727061555,-121.721407792436,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110009544671,12/31/2022,"REPUBLIC SERVICES OF CALIFORNIA, LLC",NOT AVAILABLE,01-AA-0010
-13543040.6488,4544951.4939,21,6258,ALTAMONT LANDFILL & RESOURCE RECOVERY,10840 ALTAMONT PASS ROAD,LIVERMORE,CA,94551,9722,(510) 613-8710,"MUNICIPAL, C&D",OPEN,ALAMEDA,06001,USA,37.7555567141711,-121.659204082303,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110000831404,1/1/2025,WASTE MANAGEMENT OF ALAMEDA COUNTY,NOT AVAILABLE,01-AA-0009
